Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Situação
2347,FUNDACAO ESCOLA NACIONAL DE SEGUROS FUNENSEG,42.161.687/0001-97,Privada sem fins lucrativos,3710,ESCOLA SUPERIOR NACIONAL DE SEGUROS (ESNS),ESNS,Rua Senador Dantas - 74 - CEP: 20031-205 - Centro,Rio de Janeiro,RJ,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,4,2014,5,2017,4,2017,Ativa
2347,FUNDACAO ESCOLA NACIONAL DE SEGUROS FUNENSEG,42.161.687/0001-97,Privada sem fins lucrativos,11289,ESCOLA SUPERIOR NACIONAL DE SEGUROS DE SÃO PAULO (ESNS-SP),ESNS-SP,Avenida Paulista - 2.421 - CEP: 01311-300 - Cerqueira Cesar,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2013,-,,4,2017,Ativa
16134,UNIESP S.A,19.347.410/0001-31,Privada com fins lucrativos,4442,ESCOLA SUPERIOR PAULISTA DE ADMINISTRAÇÃO - ESPA (ESPA),ESPA,Rua João Gonçalves - 455/471 - CEP: 07010-010 - Centro,Guarulhos,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
793,SERVICO SOCIAL EDUCACIONAL BENEFICENTE SESEBE,34.078.881/0001-85,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1157,ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS (ESFA),ESFA,Rua Bernardino Monteiro - 700 - CEP: 29650-000 - Dois Pinheiros,Santa Teresa,ES,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2015,4,2019,2,2017,Ativa
2861,SOCIEDADE UNIVERSITARIA DE EXCELENCIA EDUCACIONAL DO RIO GRANDE DO NORTE LTDA,07.494.877/0001-25,Privada com fins lucrativos,4566,ESTÁCIO FATERN - FACULDADE ESTÁCIO DO RIO GRANDE DO NORTE (ESTÁCIO FATERN),ESTÁCIO FATERN,Rua Dr Hernany Hugo Gomes - 90 - CEP: 59082-270 - Capim Macio,Natal,RN,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,3,2017,Ativa
545,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.",02.608.755/0001-07,Privada com fins lucrativos,1058,Estácio FIB - Centro Universitário Estácio da Bahia (Estácio FIB),Estácio FIB,Rua Xingu - 179 - CEP: 41770-130 - STIEP,Salvador,BA,Centro Universitário,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,3,2017,Ativa
3431,UNIPB - UNIAO DE ENSINO SUPERIOR DA PARAIBA LTDA - ME,03.982.012/0001-57,Privada com fins lucrativos,12547,FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL (FACITEN),FACITEN,Rua Corenel Estevam 1067 e 1415 - 1067 e 1415 - CEP: 59035-000 - Alecrim,Natal,RN,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,-,,Ativa
14172,CENTRO DE ENSINO NOROESTE LTDA - ME,10.935.440/0001-94,Privada com fins lucrativos,15518,Facudade de Morrinhos (FAM),FAM,Rua 22 Qd 31 Lt29 - s/n - CEP: 75650-000 - Setor Oeste,Morrinhos,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,-,,Ativa
1608,FACULDADE IEDUCARE LTDA,04.984.718/0001-10,Privada com fins lucrativos,2466,FACUDADE IEDUCARE - FIED (FIED),FIED,Rua Conselheiro João Lourenço - 406 - CEP: 62320-000 - Centro,Tianguá,CE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,3,2016,Ativa
15199,CENTRO EDUCACIONAL DE JARDIM SAO PAULO LTDA - ME,08.313.866/0001-64,Privada com fins lucrativos,15833,FACULDADE 2001,-,Avenida São Paulo - 257 - CEP: 50781-600 - Jardim São Paulo,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2012,-,,-,,Ativa
15575,ASSOCIACAO VINTE E OITO DE AGOSTO DE EDUCACAO E COMUNICACAO - AVOAEC,97.521.576/0001-36,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,16948,Faculdade 28 de Agosto de Ensino e Pesquisa (28 de Agosto),28 de Agosto,Rua São Bento - 413 - CEP: 01011-000 - Centro,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2013,-,,-,,Ativa
16296,ABC CENTRO DE ESTUDOS LTDA,02.259.434/0001-36,Privada com fins lucrativos,20052,Faculdade ABC de Goiânia (FABC),FABC,Rua dos Buritis - 25 - CEP: 74360-250 - Jardim Vila Boa,Goiânia,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
16233,E N DE SOUSA SILVA - EPP,19.046.547/0001-56,Privada com fins lucrativos,19371,Faculdade Adelina Moura - FAADEMA (FAADEMA),FAADEMA,Rua J. Nunes - 74 - CEP: 65393-000 - Terra Bela,Buriticupu,MA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,-,,Ativa
928,"SOCIEDADE PIAUIENSE DE EDUCACAO,CIENCIAS E TECNOLOGIA LTDA - ME",02.274.580/0001-30,Privada com fins lucrativos,1401,FACULDADE ADELMAR ROSADO (FAR),FAR,Rua Gonçalo Cavalcante - 2858 - CEP: 64000-600 - Cabral,Teresina,PI,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,3,2017,Ativa
12422,ADJETIVO-CETEP ADMINISTRADORA DE CURSOS TECNICOS LTDA - EPP,05.238.442/0001-94,Privada com fins lucrativos,13300,FACULDADE ADJETIVO CETEP (ADJETIVO-CETEP),ADJETIVO-CETEP,RUA ANTONIO OLINTO - 67 - CEP: 35420-000 - CENTRO,Mariana,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,2,2017,Ativa
12756,INSTITUICAO ADVENTISTA DE EDUCACAO E ASSISTENCIA SOCIAL NORTE BRASILEIRA,83.367.326/0001-89,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,13805,FACULDADE ADVENTISTA DA AMAZÔNIA (FAAMA),FAAMA,"Rodovia Augusto Meira Filho, Margem Esquerda - - CEP: 68795-000 - Mosqueiro",Benevides,PA,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2015,-,,-,,Ativa
2794,INSTITUICAO ADVENTISTA NORDESTE BRASILEIRA DE EDUCACAO E ASSISTENCIA SOCIAL,07.114.699/0001-60,Privada sem fins lucrativos,4531,FACULDADE ADVENTISTA DA BAHIA (FADBA),FADBA,Br 101 Km 197 - s/n - CEP: 44300-000 - Capueiruçu,Cachoeira,BA,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,4,2013,4,2018,3,2017,Ativa
1060,INSTITUICAO ADVENTISTA SUL BRASILEIRA DE EDUCACAO,76.726.884/0003-90,Privada sem fins lucrativos,1613,FACULDADE ADVENTISTA PARANAENSE (IAP),IAP,Gleba Paiçandu - s/n - CEP: 87130-000 - Zona Rural,Ivatuba,PR,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,3,2011,-,,4,2017,Ativa
15703,SEVARP - SOCIEDADE EDUCACIONAL DO VALE DO RIO PIAUI LTDA,14.770.004/0001-63,Privada com fins lucrativos,17405,FACULDADE AFONSO MAFRENSE (FAM),FAM,RUA DR LUZ PAIXÃO - 825 - CEP: 64770-000 - SANTA FÉ,São Raimundo Nonato,PI,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2013,-,,-,,Ativa
17151,CENTRO DE EDUCACAO E CULTURA AFONSO SCHIMDT LTDA,29.029.466/0001-00,Privada com fins lucrativos,19357,Faculdade Afonso Schmidt (FAS),FAS,Avenida Nove de Abril - 3400 - CEP: 11520-00 - Vila Nova,Cubatão,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
16434,SOCIEDADE UNIVERSITARIA DA AMAZONIA LTDA - ME,21.614.834/0001-67,Privada com fins lucrativos,21444,Faculdade Ágape de São Félix,-,Rua Tucunaré - 08 QD 04 - CEP: 68380-000 - Residencial Xingu,São Félix do Xingu,PA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
16079,VIDAM EMPREENDIMENTOS EDUCACIONAIS LTDA - EPP,18.867.222/0001-71,Privada com fins lucrativos,19408,Faculdade AGES de Jacobina (Faculdade AGES),Faculdade AGES,Avenida Centenário - 300 B - CEP: 44700-000 - Nazaré,Jacobina,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,-,,Ativa
16079,VIDAM EMPREENDIMENTOS EDUCACIONAIS LTDA - EPP,18.867.222/0001-71,Privada com fins lucrativos,18700,Faculdade AGES de Jeremoabo (AGES),AGES,Avenida Recife - s/n - CEP: 48540-000 - Centro,Jeremoabo,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
16079,VIDAM EMPREENDIMENTOS EDUCACIONAIS LTDA - EPP,18.867.222/0001-71,Privada com fins lucrativos,18735,Faculdade AGES de Lagarto (Faculdade AGES),Faculdade AGES,Rodovia Antônio Martins de Menezes - 270 - CEP: 49400-000 - Várzea dos Cágados,Lagarto,SE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
1077,AGES EMPREENDIMENTOS EDUCACIONAIS LTDA,03.732.265/0001-72,Privada com fins lucrativos,22093,Faculdade AGES de Medicina (Faculdade AGES),Faculdade AGES,Avenida Centenário - 500 - CEP: 44700-000 - Nazaré,Jacobina,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,-,,Ativa
16079,VIDAM EMPREENDIMENTOS EDUCACIONAIS LTDA - EPP,18.867.222/0001-71,Privada com fins lucrativos,18708,Faculdade AGES de Senhor do Bonfim (Faculdade AGES),Faculdade AGES,"Rodovia Lomanto Júnior, BR 407 - s/n - CEP: 48970-000 - Centro",Senhor do Bonfim,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
1077,AGES EMPREENDIMENTOS EDUCACIONAIS LTDA,03.732.265/0001-72,Privada com fins lucrativos,18296,Faculdade AGES de Tucano (Faculdade AGES),Faculdade AGES,"Rodovia BR 116, KM 277 - S/N - CEP: 48790-000 - Centro",Tucano,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
17259,A T VERDAN CONSULTORIA EDUCACIONAL,22.541.424/0001-04,Privada com fins lucrativos,5000,"Faculdade Ágora - Administração, Educação e Cultura (FAAEC)",FAAEC,Rua Conselheiro Dantas - 1225 - CEP: 80220-191 - Rebouças,Curitiba,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2,2011,-,,3,2014,Ativa
16055,AGORA TREINAMENTOS E CURSOS LTDA,12.646.917/0001-47,Privada com fins lucrativos,18616,FACULDADE ÁGORA - FAG (FAG),FAG,Rua Bahia - 899 - CEP: 78360-000 - Centro,Campo Novo do Parecis,MT,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,-,,Ativa
1180,ASSOCIACAO INTERNACIONAL DE EDUCACAO CONTINUADA - AIEC,03.476.821/0001-97,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1779,FACULDADE AIEC (AIEC / FAAB),AIEC / FAAB,"SEPS 712/912, Conjunto A - s/n - CEP: 70390-125 - Asa Sul",Brasília,DF,Faculdade,EAD - Superior,Privada,Privada com fins lucrativos,-,,-,,3,2017,Ativa
637,AESA ENSINO SUPERIOR DE ALAGOAS S/S LTDA.,11.918.109/0001-29,Privada com fins lucrativos,908,FACULDADE ALAGOANA DE ADMINISTRAÇÃO (FAA),FAA,Avenida Doutor Durval de Góes Monteiro - 4354 - CEP: 57081-285 - Tabuleiro do Martins,Maceió,AL,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
1291,UNIAO BRASILIENSE DE ENSINO SUPERIOR E PESQUISA EIRELI - EPP,04.260.186/0001-79,Privada com fins lucrativos,1966,FACULDADE ALBERT EINSTEIN (FALBE),FALBE,Sgas 905 Conjunto B/Parte - s/n - CEP: 70390-050 - Plano Piloto,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,3,2016,Ativa
745,INSTITUICAO ITURAMENSE DE ENSINO SUPERIOR,00.099.845/0001-86,Privada sem fins lucrativos,1068,FACULDADE ALDETE MARIA ALVES (FAMA),FAMA,AV. DOMINGOS TEIXEIRA - 664 - CEP: 38280-000 - RESIDENCIAL RECANTO DOS LAGOS,Iturama,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2018,-,,4,2017,Ativa
1390,ASSOCIACAO IGREJA ADVENTISTA MISSIONARIA - AIAMIS,03.365.403/0001-22,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,17394,Faculdade Alencarina de Sobral (FAL),FAL,AC Sobral - SN - CEP: 62010-970 - Centro,Sobral,CE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2013,-,,-,,Ativa
2173,FACULDADE ALFA AMERICA LTDA,05.200.519/0001-37,Privada com fins lucrativos,3428,FACULDADE ALFA AMÉRICA,-,Avenida Presidente Kennedy - 4285 - CEP: 11702-485 - Aviação,Praia Grande,SP,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
2371,INSTITUTO EDUCACIONAL ALMENARA LTDA - EPP,05.598.350/0001-15,Privada com fins lucrativos,16556,FACULDADE ALFA DE CAPELINHA (ALFA),ALFA,Rua das Flores - 955 e 965 - CEP: 39680-000 - Centro,Capelinha,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
1032,ASSOCIACAO APARECIDENSE DE EDUCACAO,01.460.690/0001-24,Privada sem fins lucrativos,1573,FACULDADE ALFREDO NASSER (FAN),FAN,Avenida Bela Vista - 26 - CEP: 74905-020 - Jardim das Esmeralda,Aparecida de Goiânia,GO,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,3,2017,Ativa
1032,ASSOCIACAO APARECIDENSE DE EDUCACAO,01.460.690/0001-24,Privada sem fins lucrativos,11862,FACULDADE ALFREDO NASSER DE REMANSO,-,Avenida Jesuino Oliveira de Souza - - CEP: 47200-000 - VILA SANTANA,Remanso,BA,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2011,-,,-,,Ativa
15991,CENTRO DE CIENCIAS DE ITABERAI - CCI - ME,17.664.056/0001-43,Privada com fins lucrativos,3939,FACULDADE ALIANÇA DE ITABERAI,-,Praça Balduino da Silva Caldas - 830 - CEP: 76630-000 - Centro,Itaberaí,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,2,2017,Ativa
15896,CENTRO TECNOLOGICO DE ITAPEVI LTDA,15.492.008/0001-90,Privada com fins lucrativos,17928,Faculdade Aliança Educacional do Estado de São Paulo,-,Avenida Cesário de Abreu - 1155 - CEP: 06653-020 - Centro,Itapevi,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,-,,Ativa
1209,ASSOCIACAO DE ENSINO SUPERIOR DOS INCONFIDENTES - ASESI,03.647.480/0001-75,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,17348,Faculdade Alis de Itabirito,-,rua Matozinhos - 293 - CEP: 35450-000 - Matozinhos,Itabirito,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2013,5,2019,-,,Ativa
1495,CENTRO DE ENSINO SUPERIOR ALMEIDA RODRIGUES LTDA - EPP,04.284.276/0001-08,Privada com fins lucrativos,2288,FACULDADE ALMEIDA RODRIGUES (FAR),FAR,Rua Quinca Honório leão - 1030 - CEP: 75909-030 - Morada do Sol,Rio Verde,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,3,2017,Ativa
16449,ALPHA SISTEMAS EDUCACIONAIS E TREINAMENTOS - EIRELI,15.708.483/0001-50,Privada com fins lucrativos,20570,Faculdade Alpha (Alpha),Alpha,Rua Gervásio Pires - 826 - CEP: 50050-415 - Santo Amaro,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
17260,FEPEC - FUNDACAO DE ENSINO E PESQUISA EM ENGENHARIA E CUSTOS LTDA,13.744.277/0001-70,Privada com fins lucrativos,1290,Faculdade Álvares de Azevedo (FAATESP),FAATESP,Avenida Paulista - 302/306 - CEP: 01310-000 - Bela Vista,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
979,CENTRO EDUCACIONAL ALVES FARIA LTDA.,02.850.990/0001-82,Privada com fins lucrativos,2463,FACULDADE ALVES FARIA (ALFA),ALFA,Avenida Professor Francisco Morato - 5.000 - CEP: 05520-300 - Vila Sônia,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2013,-,,SC,2012,Ativa
16262,ASSOCIACAO PIAGET DE EDUCACAO E CULTURA - APEC,20.309.287/0001-43,Privada sem fins lucrativos,1865,Faculdade Alvorada Paulista (FALP),FALP,Rua Professor Conrado de Deo - 41 - CEP: 05788-360 - Campo Limpo,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,2,2010,-,,SC,2017,Ativa
1345,SESA - SOCIEDADE DE ENSINO SUPERIOR AMADEUS LTDA,04.287.594/0001-14,Privada com fins lucrativos,2045,FACULDADE AMADEUS (FAMA),FAMA,Rua Estância - 937 - CEP: 49010-180 - Centro,Aracaju,SE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,3,2017,Ativa
16638,FACULDADE AMAZONAS LTDA - EPP,24.373.640/0001-05,Privada com fins lucrativos,21592,FACULDADE AMAZONAS,-,Travessa Cristiane Azevedo - 2712 - CEP: 69402-093 - Morada do Sol,Manacapuru,AM,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,-,,Ativa
15805,SOCIEDADE AMERICA DE EDUCACAO LTDA,12.408.344/0001-13,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,17749,Faculdade América (América),América,Rodovia Cachoeiro x Alegre - BR 482 - Km 05 - CEP: 29313-210 - Morro Grande,Cachoeiro de Itapemirim,ES,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,-,,Ativa
16829,INSTITUTO DE ENSINO CAPIXABA,39.390.083/0001-08,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,22119,FACULDADE AMÉRICA DE VITÓRIA (FAM),FAM,Rua João Nunes Coelho - 150 - CEP: 29065-490 - Mata da Praia,Vitória,ES,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2018,-,,-,,Ativa
2811,SOCIEDADE EDUCACIONAL RIO CLARO LTDA,07.371.429/0001-34,Privada com fins lucrativos,4443,FACULDADE AMÉRICA LATINA DE IJUÍ (FAL),FAL,Rua 13 de maio - 67 - CEP: 98700-000 - Centro,Ijuí,RS,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2013,-,,3,2017,Ativa
16633,NEPUGA POS GRADUACAO LTDA,07.387.998/0001-78,Privada com fins lucrativos,21573,Faculdade Ana Carolina Puga (FAPUGA),FAPUGA,Rua Padre Estevão Pernet - 398/402 - CEP: 03315-000 - Vila Gomes Cardim,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,3,2018,-,,Ativa
15496,ASSOCIACAO NACIONAL DOS SERVIDORES DA PREVIDENCIA E DA SEGURIDADE SOCIAL,37.160.330/0001-54,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,16628,Faculdade ANASPS (FANASPS),FANASPS,SCS Quadra 1 Bloco K Lote 30 Edifício Denasa - 30 - CEP: 70398-900 - Asa Sul,Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2014,-,,-,,Ativa
2011,ORGANIZACAO DE ENSINO SUPERIOR ANCHIETA - OESA,02.533.247/0001-07,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,3148,FACULDADE ANCHIETA DO RECIFE (FAR),FAR,Avenida Engenheiro Domingos Ferreira - 1990 - CEP: 51111-020 - Boa Viagem,Recife,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2013,Ativa
16416,CENTRO EDUCACIONAL ANCLIVEPA LTDA,21.829.549/0001-63,Privada com fins lucrativos,20476,Faculdade ANCLIVEPA (ANCLIVEPA),ANCLIVEPA,Rua Platina - 556 - CEP: 03308-010 - Vila Azevedo,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,-,,Ativa
16787,INSTITUTO DE EDUCACAO ANDREOTTI,03.353.850/0001-61,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,1399,FACULDADE ANDREOTTI (FA),FA,Rua Machado de Assis - s/n - CEP: 87111-970 - Jardim Universitário,Sarandi,PR,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2011,-,,2,2014,Ativa
1062,FACULDADE ANGEL VIANNA,04.380.536/0001-30,Privada com fins lucrativos,1616,FACULDADE ANGEL VIANNA (FAV),FAV,Rua Jornalista Orlando Dantas - 02 - CEP: 22231-010 - Botafogo,Rio de Janeiro,RJ,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
1623,LEGIAO DA CRUZ DE ERECHIM,89.436.620/0001-81,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,2488,FACULDADE ANGLICANA DE ERECHIM (FAE),FAE,Avenida Sete de Setembro - 44 - CEP: 99700-000 - Centro,Erechim,RS,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2016,-,,3,2017,Ativa
3137,FACULDADE PORTAL DO ENGENHO LTDA,07.855.077/0001-92,Privada com fins lucrativos,4917,FACULDADE ANGLO,-,Avenida Maria Elisa - 352 - CEP: 13405-232 - Vila Resende,Piracicaba,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,3,2017,Ativa
2943,NUCLEO INTEGRADO DE ENSINO E PESQUISA S/S LTDA - ME,07.415.446/0001-26,Privada com fins lucrativos,4631,FACULDADE ANGLO-AMERICANO DE JOÃO PESSOA (FAAJP),FAAJP,Ladeira de São Francisco - 16 - CEP: 58010-630 - Centro,João Pessoa,PB,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,4,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,5550,FACULDADE ANHANGUERA DE ANÁPOLIS,-,Avenida Universitária - 683 - CEP: 75080-150 - Centro,Anápolis,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,21924,Faculdade Anhanguera de Assis,-,"Rua Josino de Andrade - 267 , 277 - CEP: 19800-290 - Centro",Assis,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,-,,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,5451,FACULDADE ANHANGÜERA DE BAURU,-,Avenida Moussa Nakhl Tobias - 3-33 - CEP: 17021-005 - Parque Residencial do Castelo,Bauru,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1173,FACULDADE ANHANGUERA DE BRASÍLIA,-,"Qs 01 Rua 212 Lotes 11,13 e 15 - S/N - CEP: 71950-550 - Região Administrativa III Taguatinga",Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,4826,FACULDADE ANHANGÜERA DE CAMPINAS,-,Rua Emília Stefanelli Ceregatti - s/n - CEP: 13052-100 - Jardim Morumbi,Campinas,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,3,2017,Ativa
14514,EDITORA E DISTRIBUIDORA EDUCACIONAL S/A,38.733.648/0001-40,Privada com fins lucrativos,21900,Faculdade Anhanguera de Catanduva,-,Rua Belém - 892 - CEP: 15801-240 - Centro,Catanduva,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,-,,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,4616,FACULDADE ANHANGUERA DE CAXIAS DO SUL,-,Avenida Alexandre Rizzo - 491 - CEP: 95110-000 - Desvio Rizzo,Caxias do Sul,RS,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,5290,FACULDADE ANHANGUERA DE CIÊNCIAS E TECNOLOGIA DE BRASÍLIA,-,"Edifício Super Center Venâncio 3000, Quadra 06, Bloco B, conjunto A, 2º Subsolo - - CEP: 70716-900 - Asa Norte",Brasília,DF,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,2,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,5303,FACULDADE ANHANGÜERA DE DOURADOS,-,Rua Manoel Santiago - 1155 - CEP: 79825-150 - Vila São Luis,Dourados,MS,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,3,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,5216,"FACULDADE ANHANGUERA DE EDUCAÇÃO, CIÊNCIAS E TECNOLOGIA DE SOROCABA",-,Avenida Doutor Armando Pannunzio - s/n - CEP: 18050-000 - Itanguá,Sorocaba,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
